contrast_family,contrast_id,difference_definition,fixed_orientation,fixed_temperature_K,endpoint,pair_index,chemical_seed,velocity_seed,level_a_value,level_b_value,paired_difference_b_minus_a,status
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,tangent_modulus_GPa,1,20260825,20260901,47.41613317166865,62.47121930372147,15.055086132052821,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,tangent_modulus_GPa,2,20262843,20260903,67.351065547514,72.82509511312432,5.474029565610323,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,tangent_modulus_GPa,3,20264861,20260907,66.2259042407267,52.701573639375724,-13.524330601350982,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,yield_0p2_GPa,1,20260825,20260901,4.066676631558961,0.5241276474097719,-3.542548984149189,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,yield_0p2_GPa,2,20262843,20260903,1.5083402955664227,0.20439349028451714,-1.3039468052819054,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,yield_0p2_GPa,3,20264861,20260907,1.2780296874545456,0.19855921089706116,-1.0794704765574845,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,uts_GPa,1,20260825,20260901,4.3097389999999995,3.256458,-1.0532809999999997,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,uts_GPa,2,20262843,20260903,4.31397,3.3142139999999998,-0.9997560000000005,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,uts_GPa,3,20264861,20260907,4.358695999999999,3.096537,-1.2621589999999991,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,strain_at_uts,1,20260825,20260901,0.09445,0.10245,0.007999999999999993,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,strain_at_uts,2,20262843,20260903,0.11245000000000001,0.09445,-0.018000000000000002,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,strain_at_uts,3,20264861,20260907,0.10945,0.08345,-0.02600000000000001,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,work_to_20pct_GJ_m3,1,20260825,20260901,0.541021910527,0.3672633057735,-0.17375860475349997,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,work_to_20pct_GJ_m3,2,20262843,20260903,0.5472006035505,0.3956755868080001,-0.15152501674249996,resolved
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,work_to_20pct_GJ_m3,3,20264861,20260907,0.5339445394589,0.3670761890416,-0.16686835041729997,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,tangent_modulus_GPa,1,20260825,20260901,83.82325030769364,94.35784594957981,10.53459564188617,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,tangent_modulus_GPa,2,20262843,20260903,87.86535255204066,52.567424873949555,-35.297927678091106,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,tangent_modulus_GPa,3,20264861,20260907,71.79787153229292,84.88656809049932,13.088696558206408,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,yield_0p2_GPa,1,20260825,20260901,9.106452124527454,0.18823216423912753,-8.918219960288326,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,yield_0p2_GPa,2,20262843,20260903,9.980053932275473,0.17950672882062219,-9.800547203454851,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,yield_0p2_GPa,3,20264861,20260907,8.45260244865894,0.4073261102737662,-8.045276338385174,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,uts_GPa,1,20260825,20260901,9.737668,7.337967000000001,-2.3997009999999985,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,uts_GPa,2,20262843,20260903,10.30399,7.850332999999999,-2.4536570000000015,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,uts_GPa,3,20264861,20260907,9.192012,6.970456999999999,-2.2215550000000013,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,strain_at_uts,1,20260825,20260901,0.10445,0.09445,-0.009999999999999995,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,strain_at_uts,2,20262843,20260903,0.11045,0.09545,-0.015000000000000013,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,strain_at_uts,3,20264861,20260907,0.10345,0.09445,-0.008999999999999994,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,work_to_20pct_GJ_m3,1,20260825,20260901,1.0245677738095003,0.6293190840210001,-0.39524868978850014,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,work_to_20pct_GJ_m3,2,20262843,20260903,1.045183231422,0.74814014776,-0.29704308366199994,resolved
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,work_to_20pct_GJ_m3,3,20264861,20260907,1.1195921031911,0.7813022800947,-0.3382898230964,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,tangent_modulus_GPa,1,20260825,20260901,108.04375484162988,143.78213786606332,35.738383024433446,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,tangent_modulus_GPa,2,20262843,20260903,75.42069052100841,87.8508201809955,12.430129659987088,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,tangent_modulus_GPa,3,20264861,20260907,100.36074242534295,119.53851096758703,19.17776854224408,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,yield_0p2_GPa,1,20260825,20260901,1.5551112292991436,0.27142941992781255,-1.283681809371331,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,yield_0p2_GPa,2,20262843,20260903,9.5075481803223,1.0466472315788893,-8.46090094874341,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,yield_0p2_GPa,3,20264861,20260907,1.699415012172875,0.48366306227930245,-1.2157519498935727,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,uts_GPa,1,20260825,20260901,9.096037,6.851344,-2.2446930000000007,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,uts_GPa,2,20262843,20260903,9.590459,7.2277059999999995,-2.3627529999999997,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,uts_GPa,3,20264861,20260907,8.731663000000001,6.9827520000000005,-1.7489110000000005,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,strain_at_uts,1,20260825,20260901,0.12144999999999999,0.09945,-0.021999999999999992,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,strain_at_uts,2,20262843,20260903,0.12845,0.10545,-0.023000000000000007,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,strain_at_uts,3,20264861,20260907,0.11445000000000001,0.10445,-0.010000000000000009,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,work_to_20pct_GJ_m3,1,20260825,20260901,1.0958936760050002,0.7478078458830001,-0.3480858301220001,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,work_to_20pct_GJ_m3,2,20262843,20260903,1.0901276818595,0.73112138199,-0.35900629986950006,resolved
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,work_to_20pct_GJ_m3,3,20264861,20260907,1.067214669351,0.7955770276585,-0.27163764169250004,resolved
orientation,110_minus_100__T300,[110] - [100],,300,tangent_modulus_GPa,1,20260825,20260901,47.41613317166865,83.82325030769364,36.40711713602499,resolved
orientation,110_minus_100__T300,[110] - [100],,300,tangent_modulus_GPa,2,20262843,20260903,67.351065547514,87.86535255204066,20.514287004526665,resolved
orientation,110_minus_100__T300,[110] - [100],,300,tangent_modulus_GPa,3,20264861,20260907,66.2259042407267,71.79787153229292,5.57196729156621,resolved
orientation,110_minus_100__T300,[110] - [100],,300,yield_0p2_GPa,1,20260825,20260901,4.066676631558961,9.106452124527454,5.039775492968493,resolved
